"ID","exon_merge","CDS_merge"
"ENSP00000000233_nt",1103,540
"ENSP00000000412_nt",2756,831
"ENSP00000000442_nt",2215,1269
"ENSP00000001008_nt",3732,1377
"ENSP00000001146_nt",4732,1536
"ENSP00000002125_nt",2176,1323
"ENSP00000002165_nt",2356,1401
"ENSP00000002596_nt",8031,921
"ENSP00000002829_nt",3802,2355
"ENSP00000003084_nt",6132,4440
"ENSP00000003100_nt",3210,1527
"ENSP00000003302_nt",4669,3231
"ENSP00000004103_nt",1261,705
"ENSP00000004531_nt",7560,2094
"ENSP00000004982_nt",1457,480
"ENSP00000005178_nt",3576,1233
"ENSP00000005180_nt",526,282
"ENSP00000005226_nt",2700,2697
"ENSP00000005257_nt",2880,618
"ENSP00000005260_nt",3622,1533
"ENSP00000005284_nt",3088,945
"ENSP00000005286_nt",3480,3072
"ENSP00000005340_nt",3018,2208
"ENSP00000005386_nt",4370,1995
"ENSP00000005558_nt",1834,1353
"ENSP00000005587_nt",3998,1077
"ENSP00000005995_nt",1101,942
"ENSP00000006015_nt",2295,939
"ENSP00000006275_nt",805,519
"ENSP00000006526_nt",1147,1002
"ENSP00000006658_nt",2719,2406
"ENSP00000006724_nt",2489,795
"ENSP00000006777_nt",1802,1092
"ENSP00000007264_nt",2050,936
"ENSP00000007390_nt",1243,936
"ENSP00000007414_nt",3640,2526
"ENSP00000007516_nt",717,468
"ENSP00000007699_nt",1590,1092
"ENSP00000007722_nt",3665,3198
"ENSP00000007735_nt",1287,1212
"ENSP00000007969_nt",1615,1029
"ENSP00000008391_nt",1711,1356
"ENSP00000008527_nt",3267,1758
"ENSP00000008938_nt",720,588
"ENSP00000009041_nt",1728,702
"ENSP00000009105_nt",2612,1428
"ENSP00000009180_nt",1169,684
"ENSP00000009530_nt",981,888
"ENSP00000010299_nt",1050,1023
"ENSP00000010404_nt",901,465
"ENSP00000011292_nt",1487,1257
"ENSP00000011473_nt",2127,777
"ENSP00000011619_nt",3113,2187
"ENSP00000011653_nt",3114,1374
"ENSP00000011684_nt",2881,2370
"ENSP00000011691_nt",781,231
"ENSP00000011989_nt",2067,1560
"ENSP00000012049_nt",2310,1146
"ENSP00000012134_nt",9755,7338
"ENSP00000012443_nt",2109,1497
"ENSP00000013034_nt",796,531
"ENSP00000013070_nt",3694,1275
"ENSP00000013125_nt",4354,2538
"ENSP00000013222_nt",2559,789
"ENSP00000013807_nt",1278,969
"ENSP00000014914_nt",7362,1071
"ENSP00000014930_nt",1173,567
"ENSP00000014935_nt",2652,906
"ENSP00000016171_nt",2356,1230
"ENSP00000016913_nt",1167,801
"ENSP00000017003_nt",3507,2595
"ENSP00000019317_nt",4368,1965
"ENSP00000020673_nt",4183,3072
"ENSP00000020926_nt",5144,1278
"ENSP00000020945_nt",2010,804
"ENSP00000023064_nt",1761,1461
"ENSP00000023939_nt",1745,1008
"ENSP00000025008_nt",6635,4782
"ENSP00000025301_nt",9920,5703
"ENSP00000025399_nt",1442,1089
"ENSP00000026218_nt",2846,2280
"ENSP00000027335_nt",3693,2496
"ENSP00000029410_nt",1747,981
"ENSP00000033079_nt",5465,2745
"ENSP00000035307_nt",3978,2316
"ENSP00000035383_nt",5000,4611
"ENSP00000037243_nt",1002,351
"ENSP00000037502_nt",2095,1512
"ENSP00000039007_nt",1585,1062
"ENSP00000039989_nt",4469,3423
"ENSP00000040584_nt",1889,726
"ENSP00000040663_nt",1735,1107
"ENSP00000040738_nt",10565,9153
"ENSP00000040877_nt",5130,4863
"ENSP00000042931_nt",1908,1527
"ENSP00000043402_nt",2157,1419
"ENSP00000044462_nt",4411,783
"ENSP00000045083_nt",4279,2838
"ENSP00000046087_nt",1213,1053
"ENSP00000046794_nt",4678,1599
"ENSP00000052754_nt",7156,1077
"ENSP00000053243_nt",994,552
"ENSP00000053468_nt",2110,603
"ENSP00000053867_nt",2342,1779
"ENSP00000054650_nt",1366,717
"ENSP00000054666_nt",2205,300
"ENSP00000054668_nt",420,417
"ENSP00000054950_nt",2572,993
"ENSP00000055077_nt",1695,1062
"ENSP00000055335_nt",3421,2397
"ENSP00000055682_nt",11719,4548
"ENSP00000056217_nt",5544,4791
"ENSP00000056233_nt",3686,2082
"ENSP00000062104_nt",1297,243
"ENSP00000064571_nt",3024,603
"ENSP00000064724_nt",2169,621
"ENSP00000064778_nt",7296,732
"ENSP00000064780_nt",3535,1290
"ENSP00000070846_nt",4241,2643
"ENSP00000071281_nt",2458,969
"ENSP00000072516_nt",4697,1710
"ENSP00000072644_nt",1858,918
"ENSP00000072869_nt",2377,1878
"ENSP00000074304_nt",6752,2931
"ENSP00000075120_nt",3915,1488
"ENSP00000075503_nt",2995,1266
"ENSP00000078429_nt",4147,1077
"ENSP00000078445_nt",2618,1383
"ENSP00000078527_nt",2367,1479
"ENSP00000081029_nt",1888,969
"ENSP00000083182_nt",6478,1755
"ENSP00000084798_nt",1844,984
"ENSP00000085068_nt",1122,663
"ENSP00000085219_nt",3268,2541
"ENSP00000086933_nt",1033,615
"ENSP00000155093_nt",5239,2403
"ENSP00000155840_nt",3245,2028
"ENSP00000155926_nt",4391,1029
"ENSP00000156084_nt",2740,1713
"ENSP00000156109_nt",1742,1428
"ENSP00000156471_nt",9694,4455
"ENSP00000156499_nt",1060,801
"ENSP00000157600_nt",8405,1095
"ENSP00000157812_nt",1591,1254
"ENSP00000158009_nt",1388,972
"ENSP00000158762_nt",2512,2220
"ENSP00000158771_nt",4209,717
"ENSP00000159060_nt",2042,1704
"ENSP00000159087_nt",4152,3696
"ENSP00000160373_nt",5970,4989
"ENSP00000160382_nt",1537,1278
"ENSP00000160827_nt",2113,1995
"ENSP00000161006_nt",1386,951
"ENSP00000161559_nt",3519,1578
"ENSP00000161863_nt",6316,4290
"ENSP00000162044_nt",1820,1437
"ENSP00000162391_nt",5523,1722
"ENSP00000162749_nt",2223,1365
"ENSP00000163416_nt",2969,2193
"ENSP00000164024_nt",11956,9936
"ENSP00000164133_nt",2745,1491
"ENSP00000164139_nt",3198,2526
"ENSP00000164227_nt",2038,1362
"ENSP00000165524_nt",264,261
"ENSP00000166139_nt",2542,789
"ENSP00000166244_nt",4943,3015
"ENSP00000166345_nt",2672,1296
"ENSP00000166534_nt",2230,1605
"ENSP00000167106_nt",5728,1095
"ENSP00000167586_nt",1662,1416
"ENSP00000167588_nt",1737,1272
"ENSP00000168148_nt",1024,633
"ENSP00000168216_nt",960,783
"ENSP00000168712_nt",3233,618
"ENSP00000169298_nt",4645,1218
"ENSP00000169551_nt",3095,744
"ENSP00000170150_nt",1898,1374
"ENSP00000170168_nt",4591,3663
"ENSP00000170447_nt",2848,1248
"ENSP00000170564_nt",3492,2793
"ENSP00000171111_nt",2955,1872
"ENSP00000171757_nt",1714,1017
"ENSP00000171887_nt",10331,5205
"ENSP00000172229_nt",3417,1281
"ENSP00000173229_nt",5954,1812
"ENSP00000173527_nt",1940,894
"ENSP00000173898_nt",4647,4293
"ENSP00000174618_nt",4996,1746
"ENSP00000174653_nt",3661,1254
"ENSP00000175091_nt",1765,699
"ENSP00000175506_nt",2356,1683
"ENSP00000175756_nt",3669,1380
"ENSP00000176183_nt",1375,1257
"ENSP00000176195_nt",366,363
"ENSP00000176763_nt",6060,2904
"ENSP00000177648_nt",4537,3732
"ENSP00000177694_nt",2572,1605
"ENSP00000177742_nt",1040,675
"ENSP00000178638_nt",6413,1062
"ENSP00000178640_nt",2347,1344
"ENSP00000179259_nt",2782,810
"ENSP00000180166_nt",1688,633
"ENSP00000180173_nt",3850,1980
"ENSP00000181383_nt",1717,1269
"ENSP00000181796_nt",3785,918
"ENSP00000181839_nt",7298,4536
"ENSP00000182290_nt",1318,960
"ENSP00000182377_nt",2095,1545
"ENSP00000182527_nt",6908,1110
"ENSP00000183605_nt",3520,783
"ENSP00000184183_nt",1614,636
"ENSP00000184266_nt",671,387
"ENSP00000184956_nt",3932,3543
"ENSP00000185150_nt",2433,1449
"ENSP00000185206_nt",6023,1230
"ENSP00000186436_nt",6640,5649
"ENSP00000187762_nt",2649,897
"ENSP00000188312_nt",2464,1188
"ENSP00000188790_nt",2780,2280
"ENSP00000190165_nt",2183,1416
"ENSP00000190983_nt",1403,750
"ENSP00000192314_nt",1370,1194
"ENSP00000192788_nt",9570,4320
"ENSP00000193322_nt",4467,1002
"ENSP00000193391_nt",8337,3723
"ENSP00000194118_nt",2203,1545
"ENSP00000194130_nt",3815,1785
"ENSP00000194152_nt",3825,2385
"ENSP00000194155_nt",4126,2394
"ENSP00000194530_nt",2293,1254
"ENSP00000194900_nt",6112,2547
"ENSP00000196061_nt",2940,2181
"ENSP00000196371_nt",3388,1560
"ENSP00000196482_nt",3000,1659
"ENSP00000196489_nt",2561,1782
"ENSP00000197268_nt",4808,1866
"ENSP00000198536_nt",1316,909
"ENSP00000198767_nt",3762,1953
"ENSP00000198801_nt",1404,1002
"ENSP00000198939_nt",4084,2781
"ENSP00000199280_nt",4174,813
"ENSP00000199320_nt",2859,939
"ENSP00000199389_nt",4469,1890
"ENSP00000199447_nt",2312,1764
"ENSP00000199448_nt",2599,672
"ENSP00000199706_nt",1098,768
"ENSP00000199708_nt",536,426
"ENSP00000199764_nt",2700,1032
"ENSP00000199814_nt",2342,1260
"ENSP00000199936_nt",1455,1161
"ENSP00000200135_nt",2992,2337
"ENSP00000200181_nt",5919,5466
"ENSP00000200453_nt",2378,2022
"ENSP00000200457_nt",1942,1428
"ENSP00000200557_nt",4571,2307
"ENSP00000200652_nt",2201,1653
"ENSP00000200676_nt",1791,1479
"ENSP00000201031_nt",2866,1350
"ENSP00000201586_nt",1295,1095
"ENSP00000201647_nt",2536,2169
"ENSP00000201979_nt",1665,894
"ENSP00000202017_nt",1998,399
"ENSP00000202556_nt",4958,3270
"ENSP00000202625_nt",2292,2118
"ENSP00000202677_nt",6152,5619
